id,features
940,"[0.397278755903244, -0.3900485038757324, 1.0442559719085693, -1.1651074886322021, -1.242553949356079, 0.7543672323226929, -2.0284390449523926, -0.5433617234230042, 1.184220790863037, -0.4318656921386719]"
950,"[0.3505038917064667, 2.06624436378479, 0.9600862860679626, -2.3482840061187744, 0.8708710074424744, 0.4634247124195099, 1.7550722360610962, 0.30397385358810425, -1.5996915102005005, 1.7831600904464722]"
980,"[-0.4659441113471985, -0.198284313082695, 0.17293773591518402, 0.3923315405845642, -0.1625363528728485, -0.29570677876472473, -0.2611774504184723, -0.2796884775161743, -0.4797685444355011, -0.02335631288588047]"
1010,"[-0.5161424279212952, 0.26572170853614807, 0.4884442090988159, 1.0726661682128906, 0.6634385585784912, -1.4342286586761475, -0.9823794960975647, -0.8397287130355835, -2.2085719108581543, 0.31344905495643616]"
1020,"[0.24113152921199799, 1.4811246395111084, -0.4912181496620178, -1.6419105529785156, -1.5062891244888306, 0.1923549920320511, -1.1314711570739746, -1.7659305334091187, 1.344784140586853, -0.8842941522598267]"
1030,"[-2.1682941913604736, 0.3485904335975647, 0.6670133471488953, -1.2556434869766235, -0.7616870403289795, 1.3187851905822754, 0.817696750164032, -0.3301835358142853, 0.11373385787010193, -0.3545348644256592]"
1050,"[0.4310237765312195, 0.4663180112838745, 0.50250643491745, -1.302968144416809, 2.2678096294403076, -0.8813435435295105, 1.1076483726501465, 0.29989349842071533, 0.8961182832717896, 0.6903391480445862]"
1060,"[2.43158221244812, -1.190889596939087, 2.1342806816101074, 0.7488741874694824, 0.8088379502296448, -1.7376936674118042, -1.6241559982299805, 1.9619524478912354, 0.21415993571281433, -0.3240942656993866]"
1080,"[0.02099284715950489, 0.10347887128591537, -0.6366628408432007, 1.372166633605957, -0.45407405495643616, 4.001612663269043, 0.15417549014091492, 0.5608757734298706, -1.2680338621139526, -1.2506556510925293]"
1090,"[0.15126155316829681, 0.6239166259765625, 1.5249577760696411, -1.185671091079712, 0.03019377961754799, -3.0342540740966797, 2.205573320388794, 1.0767509937286377, 0.9681618213653564, 1.1455117464065552]"
1100,"[-0.08002922683954239, -1.049378514289856, -0.3087192177772522, 0.9265343546867371, -1.6560524702072144, 2.04667592048645, 0.2657789885997772, 0.3486540615558624, 1.691292405128479, -0.8350027799606323]"
1120,"[-0.37946879863739014, 0.7541653513908386, -1.7940545082092285, 1.2867475748062134, 0.5570873618125916, -0.808468222618103, 1.7941032648086548, 1.5740116834640503, -0.7003819942474365, -1.0197008848190308]"
1130,"[0.4337881803512573, 0.6902647614479065, -2.295403480529785, -0.07486681640148163, 2.1769630908966064, -0.7229700684547424, 0.49593353271484375, 0.15369731187820435, -0.788323163986206, -1.0393521785736084]"
1150,"[-0.15212474763393402, -0.7716213464736938, 1.2618569135665894, -2.0221104621887207, 0.36291980743408203, 2.694502830505371, 1.6941441297531128, -0.022469544783234596, 1.415653944015503, 0.3061973452568054]"
1190,"[0.3265012204647064, -0.11556927859783173, -0.4473259150981903, -1.280727744102478, -0.7439690828323364, -1.7008670568466187, 0.16752658784389496, 0.8641608953475952, -1.3290400505065918, -0.27445846796035767]"
1200,"[0.6396709680557251, -0.48116302490234375, -0.12420962005853653, -1.1644490957260132, -2.4113340377807617, 1.1388273239135742, -0.2202604115009308, -0.19981101155281067, 1.1633752584457397, -1.8971848487854004]"
1210,"[1.529687762260437, 2.3034584522247314, -0.059495486319065094, -0.6426071524620056, 0.156869575381279, -0.4070829749107361, 0.92209392786026, -2.2728285789489746, 1.0783097743988037, -0.26079291105270386]"
1220,"[0.3102056384086609, 1.1177237033843994, -0.19937148690223694, 1.027459979057312, 0.3910628855228424, 1.0766981840133667, 0.23634499311447144, 2.359672784805298, 0.5441957712173462, -2.788675308227539]"
1230,"[0.637073814868927, 0.6396678686141968, -3.458406448364258, -1.1634297370910645, 0.01821199618279934, -0.5779458284378052, -1.860185146331787, -1.093988299369812, 0.46033602952957153, 0.32143446803092957]"
1240,"[-1.2886149883270264, -0.024967966601252556, 0.719689130783081, -1.3266018629074097, 0.5696706175804138, 0.6062933206558228, 0.8815867304801941, -0.3767299950122833, -0.6403634548187256, 0.12816746532917023]"
1250,"[0.9393675327301025, 0.6887737512588501, -1.1879944801330566, 0.24002705514431, 3.4368903636932373, -0.27613943815231323, -0.1002211794257164, -0.7884370684623718, 1.3179385662078857, -0.646389901638031]"
1260,"[-2.4377965927124023, 0.24099154770374298, 2.181264638900757, 1.60733962059021, -0.2066839337348938, 0.4629895091056824, 1.9228767156600952, 0.14329318702220917, 1.4162389039993286, 0.37002885341644287]"
1270,"[1.1210322380065918, -0.49965158104896545, -0.12949968874454498, 0.8012264966964722, -0.028303327038884163, 0.8451492786407471, 1.3455508947372437, 1.1248677968978882, -2.0589616298675537, 0.08620430529117584]"
1280,"[0.17134235799312592, 0.5718485116958618, 1.6742396354675293, -0.3457028567790985, 0.38973668217658997, 0.334015429019928, 2.4054155349731445, -0.15681494772434235, 0.47058138251304626, 1.1380417346954346]"
1290,"[0.6131255030632019, 0.6736041307449341, 0.6040425896644592, 0.7605319619178772, 0.017043476924300194, 2.0105626583099365, 1.8649288415908813, 1.297655463218689, 0.08183202147483826, -0.4915441870689392]"
1300,"[0.9925981760025024, -1.012515902519226, -1.0070494413375854, -2.483398199081421, 1.6089719533920288, 2.3151462078094482, -1.7378605604171753, 1.925108790397644, -1.3184905052185059, 0.24608229100704193]"
1320,"[0.2716936469078064, -0.5780070424079895, 0.594714343547821, 0.454960435628891, 1.9947504997253418, -0.5528609156608582, 0.7217864990234375, 0.25179538130760193, 3.252471685409546, -0.14373940229415894]"
1330,"[1.216916799545288, 2.0137405395507812, -1.164595603942871, -1.914002776145935, -0.8464924693107605, 0.07287191599607468, -1.81478750705719, -0.17711876332759857, -3.4529998302459717, 1.0479931831359863]"
1340,"[-2.084880828857422, -1.3530796766281128, 0.7985252737998962, -0.36389589309692383, 0.646845281124115, 0.7310494184494019, 0.6457353830337524, 0.3205311894416809, 1.39718759059906, -0.7052037119865417]"
1350,"[-2.384953498840332, -0.1824922114610672, -0.8805344700813293, -1.3420262336730957, -1.1004434823989868, 1.1628520488739014, -0.4972010850906372, -1.4904541969299316, 0.9085673093795776, -0.00881248340010643]"
1370,"[-0.6655481457710266, 0.5660077333450317, 1.1462204456329346, -0.11670863628387451, 0.8010292053222656, -1.5169577598571777, -1.0816015005111694, -1.6835907697677612, -0.9080216884613037, 2.313180923461914]"
1380,"[0.32482632994651794, -0.6845932602882385, -0.9982694387435913, 0.37993887066841125, 1.7699711322784424, -2.0048067569732666, 1.8018271923065186, -0.2970038950443268, 0.8830028176307678, 1.9955987930297852]"
1390,"[0.0689677819609642, 0.7992591857910156, 0.2816867232322693, -0.243755042552948, -1.7347553968429565, 1.078440546989441, 0.5876178741455078, 0.7155734896659851, -0.35669025778770447, -0.5438761115074158]"
1410,"[-0.03887553885579109, -1.0757582187652588, -1.120386004447937, 1.4491196870803833, 0.7679942846298218, 0.3597794473171234, 0.40415725111961365, -0.6967620849609375, -0.5058673024177551, 0.311699777841568]"
1440,"[-0.14613959193229675, -1.0939018726348877, -0.4976820647716522, -1.4143444299697876, 0.41525977849960327, 0.7381805777549744, 1.9407905340194702, -0.17709238827228546, -0.15982994437217712, 0.3999743163585663]"
1460,"[-0.3892015814781189, 1.3427859544754028, -0.9231132864952087, 0.7406741976737976, -0.2897890508174896, 0.010281175374984741, 1.1414239406585693, -0.7929893732070923, -0.24412472546100616, -0.8969207406044006]"
1480,"[-0.47258374094963074, -1.0686622858047485, -0.9512742757797241, -0.3779902160167694, -1.5128768682479858, -0.6518684029579163, -0.8644091486930847, 1.5649617910385132, 1.5317535400390625, 0.025774771347641945]"
1490,"[-0.350547730922699, 1.119212031364441, -2.3430066108703613, 0.8701366782188416, 0.2923133075237274, -0.3164578378200531, 1.2118210792541504, -0.06025803089141846, -2.2749810218811035, -0.0023415929172188044]"
1500,"[-0.3639366626739502, 1.430712342262268, 1.900275707244873, -1.8727535009384155, 1.4842439889907837, 0.09266064316034317, 1.2631707191467285, 0.8690922856330872, -1.779220461845398, 0.7543359994888306]"
1580,"[-0.6297009587287903, -1.5892333984375, 0.4146129786968231, -0.6421064138412476, -1.3710873126983643, -1.2218096256256104, 0.8412850499153137, 1.0823744535446167, -0.521718442440033, -0.5569885969161987]"
1590,"[-1.5194790363311768, 0.3918195366859436, -2.093179225921631, 1.3649399280548096, -0.08451242744922638, 1.7606393098831177, -1.4155689477920532, -1.108824372291565, -0.5954517722129822, -0.26983433961868286]"
1610,"[0.26951363682746887, 0.8562741875648499, 0.3016465902328491, 0.1769089549779892, -0.3492439091205597, 0.6791574954986572, 0.882616400718689, -1.0320061445236206, -1.6516624689102173, -1.8315715789794922]"
1620,"[-1.5182298421859741, 1.754417896270752, 1.0689306259155273, -0.12198273837566376, 1.8791308403015137, 0.7901908159255981, 1.323844313621521, 2.3139708042144775, 0.5727057456970215, -0.17570890486240387]"
1640,"[-0.4358139634132385, -0.7866830825805664, -0.7247004508972168, -0.9417044520378113, -0.539971649646759, -1.742867112159729, -1.5267170667648315, 0.4114763140678406, -0.6603068113327026, 0.28515154123306274]"
1660,"[-0.3788087069988251, 0.9253801703453064, 0.36072513461112976, -1.4884412288665771, -0.1617966592311859, 0.8115265369415283, -0.25361010432243347, 1.6556681394577026, 1.3324047327041626, -1.5582103729248047]"
1680,"[-0.13239523768424988, -1.712939739227295, -2.038571834564209, -1.5436840057373047, -0.3147377669811249, -0.3975328803062439, -0.31420400738716125, -0.24425560235977173, -1.5986390113830566, -0.9245349168777466]"
1690,"[-0.4161769151687622, 0.21910470724105835, 0.6205084323883057, -0.23318974673748016, -1.748197078704834, -1.7772846221923828, 1.9890272617340088, -0.9264180064201355, 0.2829085886478424, 0.2194286286830902]"
1730,"[1.3047263622283936, 1.6895925998687744, -1.2682362794876099, -0.21302463114261627, -0.5702937841415405, -0.9540153741836548, -1.752065896987915, -0.5576501488685608, -0.022403636947274208, -0.20540067553520203]"
1760,"[-0.47206562757492065, 0.18162398040294647, -1.3227356672286987, -0.41761186718940735, -0.4349193274974823, 1.126769781112671, 0.056127820163965225, -0.3067866861820221, -0.7417176961898804, -1.311225175857544]"
1810,"[0.4501500725746155, -2.2130343914031982, -0.1996125876903534, 0.15917706489562988, 0.15357378125190735, 1.056695818901062, -0.03111307881772518, -1.3413581848144531, 0.8551374673843384, 0.30464738607406616]"
1840,"[-0.9601115584373474, 0.24976707994937897, 0.808027982711792, 0.35818514227867126, -0.18642765283584595, 0.20669807493686676, -0.442661851644516, 0.5890514850616455, -0.27014049887657166, 0.01082442793995142]"
1920,"[-0.502902090549469, 1.923911213874817, -0.6336036920547485, -1.9250675439834595, -1.4239948987960815, -0.04241125285625458, -0.5505437850952148, -0.5168384909629822, -0.4166838228702545, 0.18581034243106842]"
1940,"[0.5178592205047607, 0.5599455833435059, 0.6891972422599792, -1.6176456212997437, 1.3282994031906128, 0.03479914367198944, 0.8072515726089478, 0.9187800884246826, -0.7925437688827515, -0.03516960144042969]"
1950,"[1.3814499378204346, 0.4559076130390167, -0.11017221212387085, 2.2984964847564697, -1.658955693244934, 0.14464370906352997, 0.7865515947341919, 1.7114423513412476, -0.7873464226722717, 1.8120343685150146]"
1960,"[0.07210157066583633, -0.063618503510952, 0.5480349659919739, 0.9408629536628723, 2.837953567504883, -2.2774789333343506, -2.8695285320281982, -1.408017873764038, -0.9315632581710815, 2.0246009826660156]"
1970,"[-1.8175511360168457, 0.6540011763572693, -0.8170152902603149, 0.26420268416404724, -1.0238416194915771, -0.9758493900299072, -0.15599581599235535, 0.2513854205608368, 0.2686420679092407, -0.838472843170166]"
1980,"[1.19618821144104, -1.052588701248169, -0.14896059036254883, -0.08428633958101273, 1.2507538795471191, 0.43457335233688354, 0.9946326613426208, -1.0459119081497192, -0.0028875519055873156, 0.2999207079410553]"
1990,"[-0.32446208596229553, -0.05201755836606026, -0.008098919875919819, -0.15329299867153168, 0.03417368233203888, 0.18128660321235657, -0.02559455670416355, 0.08060137927532196, 0.00713612325489521, 0.17304669320583344]"
2000,"[-0.5876404047012329, 1.6619808673858643, 0.1933966726064682, 0.1993613988161087, -0.9777135252952576, -1.593519926071167, 2.0597307682037354, -1.633972406387329, 0.3522208333015442, 1.5740747451782227]"
2010,"[-0.7393086552619934, 0.03375270590186119, 2.705035924911499, -2.653892993927002, -0.00706825777888298, 1.8893492221832275, 0.6595317125320435, -1.502741813659668, -2.331009864807129, 0.25470951199531555]"
2020,"[-2.4614293575286865, 0.7613050937652588, -1.4187383651733398, 0.9761043787002563, 1.1112134456634521, 1.1240366697311401, -2.639432668685913, -0.7912200093269348, 1.2201989889144897, -0.44017162919044495]"
2060,"[-1.050919532775879, -0.32263803482055664, -0.962806224822998, 0.526490330696106, 0.16563598811626434, -0.6525813341140747, -0.519521176815033, -1.747292399406433, -1.1255018711090088, -1.237617015838623]"
2070,"[-0.7794927358627319, 0.7936850786209106, 0.13381759822368622, -0.3393878638744354, 0.5230934023857117, 0.08074034750461578, 1.1198424100875854, 0.10162190347909927, 0.9439957737922668, -0.4008355140686035]"
2080,"[0.3812390863895416, 0.46097883582115173, -1.8865567445755005, 2.347163677215576, 0.8501213192939758, -0.45126038789749146, -1.6981076002120972, 1.5091785192489624, -0.8057379722595215, 0.042043305933475494]"
2090,"[-1.6127444505691528, -1.190950870513916, -0.5081577897071838, -1.0893840789794922, 1.9877148866653442, -1.1726093292236328, 0.2815279960632324, 2.034914016723633, 0.5874010324478149, 0.5209529995918274]"
2100,"[-1.3023149967193604, -0.08349166810512543, -0.24044789373874664, 0.3119090497493744, -2.120652914047241, 1.5263203382492065, -1.7859491109848022, -1.8141030073165894, 1.5825080871582031, 1.7313662767410278]"
2110,"[-0.9467833042144775, -0.18195757269859314, -1.604036569595337, 0.4288225769996643, -0.47331660985946655, -0.9450657367706299, -1.0585193634033203, -0.28963974118232727, 0.4547322988510132, 0.14308172464370728]"
2120,"[1.1865226030349731, 0.47780224680900574, -2.0984137058258057, 0.4583759009838104, 0.6751800775527954, 0.437634140253067, -0.4309121072292328, 0.391435444355011, 0.9051618576049805, 0.5947386622428894]"
2130,"[0.0933002308011055, -1.6265172958374023, 0.0823877677321434, 0.7077122926712036, 0.3597092628479004, -2.04712176322937, 0.2182280719280243, 0.9819911122322083, -0.2605878710746765, -1.1849974393844604]"
2140,"[-0.5440320372581482, 0.6050510406494141, -0.8268795609474182, -1.5424681901931763, 0.9089426398277283, -0.18506775796413422, 2.0876524448394775, 1.583747386932373, -1.7848111391067505, -1.4931089878082275]"
2150,"[0.37805452942848206, -0.5894914269447327, 2.9885993003845215, 0.6458456516265869, 1.4269828796386719, -0.15011091530323029, 0.4086282253265381, -2.0446109771728516, -2.1610612869262695, 0.8157052397727966]"
2160,"[-1.037981629371643, 2.9199564456939697, -0.5792984962463379, 2.5168097019195557, 0.27982863783836365, -0.20882652699947357, 0.7477591037750244, -0.9525223970413208, -2.3644392490386963, 0.5012649893760681]"
2180,"[-1.4794660806655884, -0.25447526574134827, 1.291111707687378, -0.2243211567401886, 0.4238636791706085, -0.2728284001350403, -2.091459035873413, -0.14198768138885498, 0.2622767686843872, 1.0359115600585938]"
2210,"[-0.08902180939912796, -0.8736067414283752, -0.7527670860290527, 0.415302574634552, -0.06429307162761688, -0.6453890800476074, 0.4824390113353729, 0.7248992323875427, -0.7814525961875916, -0.12798982858657837]"
2240,"[1.07675039768219, 1.1778987646102905, 0.8931699991226196, -1.0869090557098389, -1.2629910707473755, -0.5494247674942017, -0.03495553508400917, -2.1715455055236816, -1.3956722021102905, -0.06509064137935638]"
2250,"[0.09055254608392715, -0.146925151348114, 0.10282541811466217, 0.10163489729166031, 0.00023275319836102426, -0.04659237712621689, -0.01538829505443573, -0.030675528571009636, -0.08680350333452225, 0.333055704832077]"
